win,diff
1,41.41666663
0,-41.41666663
1,-16.95833333
0,16.95833333
1,9.27651515
0,-9.27651515
1,-3.16666666
0,3.16666666
1,39.66666667
0,-39.66666667
1,42.83333333
0,-42.83333333
1,38.24999997
0,-38.24999997
1,1.4166667
0,-1.4166667
1,7.68181818
0,-7.68181818
1,-11.375
0,11.375
1,26.91666663
0,-26.91666663
1,-9.9583333
0,9.9583333
1,20.60984849
0,-20.60984849
1,28.33333333
0,-28.33333333
1,11.375
0,-11.375
1,26.91666663
0,-26.91666663
1,45.4193723
0,-45.4193723
1,-16.45075757
0,16.45075757
1,-20.55762987
0,20.55762987
1,-0.66350728
0,0.66350728
1,43.14583338
0,-43.14583338
1,34.84810606
0,-34.84810606
1,-5.61666666
0,5.61666666
1,8.77083333
0,-8.77083333
1,8.0094697
0,-8.0094697
1,61.54318187
0,-61.54318187
1,36.64853897
0,-36.64853897
1,44.12083337
0,-44.12083337
1,25.92677049
0,-25.92677049
1,26.69507581
0,-26.69507581
1,-5.36914062
0,5.36914062
1,28.56709957
0,-28.56709957
1,-8.10732605
0,8.10732605
1,49.73750003
0,-49.73750003
1,18.39734849
0,-18.39734849
1,-2.64032908
0,2.64032908
1,37.31204625
0,-37.31204625
1,0.97916667
0,-0.97916667
1,25.4375
0,-25.4375
1,-17.9972944
0,17.9972944
1,18.79861111
0,-18.79861111
1,44.12310611
0,-44.12310611
1,19.95151515
0,-19.95151515
1,21.53679654
0,-21.53679654
1,21.43894019
0,-21.43894019
1,31.74020563
0,-31.74020563
1,19.58035714
0,-19.58035714
1,13.3598485
0,-13.3598485
1,29.78598488
0,-29.78598488
1,40.51103896
0,-40.51103896
1,23.56547624
0,-23.56547624
1,12.76596321
0,-12.76596321
1,26.78704625
0,-26.78704625
1,22.79717092
0,-22.79717092
1,-11.78869048
0,11.78869048
1,39.53187229
0,-39.53187229
1,30.76325761
0,-30.76325761
1,-3.99855981
0,3.99855981
1,22.58630957
0,-22.58630957
1,-7.98843514
0,7.98843514
1,63.09734853
0,-63.09734853
1,7.79166666
0,-7.79166666
1,9.22646107
0,-9.22646107
1,0.97727273
0,-0.97727273
1,30.78560606
0,-30.78560606
1,6.4625
0,-6.4625
1,20.55952381
0,-20.55952381
1,-10.20562774
0,10.20562774
1,31.3571429
0,-31.3571429
1,-5.34810606
0,5.34810606
1,18.97424242
0,-18.97424242
1,8.39583333
0,-8.39583333
1,58.7583333
0,-58.7583333
1,37.58704624
0,-37.58704624
1,51.10371293
0,-51.10371293
1,47.60416667
0,-47.60416667
1,19.19166667
0,-19.19166667
1,65.31204627
0,-65.31204627
1,22.60416667
0,-22.60416667
1,-6.75
0,6.75
1,37.70833333
0,-37.70833333
1,-11.52916667
0,11.52916667
1,35.98333336
0,-35.98333336
1,21.66621291
0,-21.66621291
1,-10.9375
0,10.9375
1,4.2583333
0,-4.2583333
1,7.02037957
0,-7.02037957
1,8.6995463
0,-8.6995463
1,36.10787958
0,-36.10787958
1,49.08333333
0,-49.08333333
1,31.47454624
0,-31.47454624
1,-1.47916666
0,1.47916666
1,31.47454624
0,-31.47454624
1,36.25371291
0,-36.25371291
1,65.0083333
0,-65.0083333
1,0.4375
0,-0.4375
1,21.66621291
0,-21.66621291
1,22.60416667
0,-22.60416667
1,6.75
0,-6.75
1,62.04121293
0,-62.04121293
1,41.96666663
0,-41.96666663
1,11.52916667
0,-11.52916667
1,30.68795376
0,-30.68795376
1,0.14583333
0,-0.14583333
1,14.20833334
0,-14.20833334
1,-7.02037957
0,7.02037957
1,26.05787957
0,-26.05787957
1,-4.2583333
0,4.2583333
1,24.45416669
0,-24.45416669
1,-4.75
0,4.75
1,14.68287957
0,-14.68287957
1,15.75462039
0,-15.75462039
1,18.39537957
0,-18.39537957
1,-12.9578796
0,12.9578796
1,-6.25
0,6.25
1,9.60416667
0,-9.60416667
1,7.6625
0,-7.6625
1,4.60416667
0,-4.60416667
1,11.49628709
0,-11.49628709
1,9.45833334
0,-9.45833334
1,-8.6995463
0,8.6995463
1,11.375
0,-11.375
1,1.67083334
0,-1.67083334
1,4.88333333
0,-4.88333333
1,37.39848482
0,-37.39848482
1,33.07310606
0,-33.07310606
1,33.84810607
0,-33.84810607
1,39.06931816
0,-39.06931816
1,28.18977273
0,-28.18977273
1,41.86287882
0,-41.86287882
1,33.84810607
0,-33.84810607
1,0.22916667
0,-0.22916667
1,-3.39204543
0,3.39204543
1,37.20871216
0,-37.20871216
1,3.68371209
0,-3.68371209
1,28.18977273
0,-28.18977273
1,43.15871216
0,-43.15871216
1,5.626894
0,-5.626894
1,0.93333333
0,-0.93333333
1,-0.29166666
0,0.29166666
1,5.95
0,-5.95
1,37.53181816
0,-37.53181816
1,-9.01893943
0,9.01893943
1,-1.1625
0,1.1625
1,27.89810607
0,-27.89810607
1,34.13977273
0,-34.13977273
1,31.58181816
0,-31.58181816
1,9.31060609
0,-9.31060609
1,-9.01893943
0,9.01893943
1,-3.68371209
0,3.68371209
1,-0.57638889
0,0.57638889
1,3.51666666
0,-3.51666666
1,2.02222222
0,-2.02222222
1,7.00333412
0,-7.00333412
1,11.07083333
0,-11.07083333
1,-1.49444444
0,1.49444444
1,11.64722222
0,-11.64722222
1,7.55416667
0,-7.55416667
1,8.13055556
0,-8.13055556
1,9.04861111
0,-9.04861111
1,-1.49444444
0,1.49444444
1,-21.55888968
0,21.55888968
1,8.13055556
0,-8.13055556
1,-11.93388968
0,11.93388968
1,13.42833412
0,-13.42833412
1,9.625
0,-9.625
1,-2.90833334
0,2.90833334
1,-3.51666666
0,3.51666666
1,28.99954624
0,-28.99954624
1,13.39583334
0,-13.39583334
1,15.37083334
0,-15.37083334
1,-35.25833334
0,35.25833334
1,31.35732606
0,-31.35732606
1,44.93749997
0,-44.93749997
1,53.45371293
0,-53.45371293
1,26.7625
0,-26.7625
1,8.49583334
0,-8.49583334
1,-17.96149272
0,17.96149272
1,24.45416669
0,-24.45416669
1,-29.56666663
0,29.56666663
1,-3.588961
0,3.588961
1,28.39583334
0,-28.39583334
1,60.49954627
0,-60.49954627
1,9.90878709
0,-9.90878709
1,23.20371291
0,-23.20371291
1,13.81204624
0,-13.81204624
1,48.21103897
0,-48.21103897
1,25.03749997
0,-25.03749997
1,13.025
0,-13.025
1,43.64583336
0,-43.64583336
1,23.38704625
0,-23.38704625
1,28.99954624
0,-28.99954624
1,-33.73704627
0,33.73704627
1,5.00878709
0,-5.00878709
1,31.35732606
0,-31.35732606
1,-15.1875
0,15.1875
1,29.18287958
0,-29.18287958
1,51.79999997
0,-51.79999997
1,28.2125
0,-28.2125
1,-5.79583333
0,5.79583333
1,-12.2885073
0,12.2885073
1,-15.37083334
0,15.37083334
1,34.94628706
0,-34.94628706
1,26.7625
0,-26.7625
1,16.85371291
0,-16.85371291
1,21.44853897
0,-21.44853897
1,-0.18333334
0,0.18333334
1,0.78704624
0,-0.78704624
1,8.01621291
0,-8.01621291
1,-8.6995463
0,8.6995463
1,17.96149272
0,-17.96149272
1,7.98843514
0,-7.98843514
1,-4.0625
0,4.0625
1,38.77272731
0,-38.77272731
1,39.53187229
0,-39.53187229
1,19.95151515
0,-19.95151515
1,48.59420379
0,-48.59420379
1,-30.69363562
0,30.69363562
1,36.68939391
0,-36.68939391
1,-9.82147648
0,9.82147648
1,31.85732605
0,-31.85732605
1,31.3571429
0,-31.3571429
1,-2.0833334
0,2.0833334
1,-12.27696891
0,12.27696891
1,0.66350728
0,-0.66350728
1,46.51087039
0,-46.51087039
1,7.67454624
0,-7.67454624
1,19.58035714
0,-19.58035714
1,24.72916667
0,-24.72916667
1,11.78869048
0,-11.78869048
1,-10.20562774
0,10.20562774
1,15.4431819
0,-15.4431819
1,-18.80821891
0,18.80821891
1,39.97962039
0,-39.97962039
1,13.3598485
0,-13.3598485
1,7.12815938
0,-7.12815938
1,8.12229434
0,-8.12229434
1,55.42280229
0,-55.42280229
1,17.33378712
0,-17.33378712
1,20.77543291
0,-20.77543291
1,42.06295379
0,-42.06295379
1,15.25045372
0,-15.25045372
1,23.56547624
0,-23.56547624
1,-8.98674243
0,8.98674243
1,30.59690939
0,-30.59690939
1,-15.4431819
0,15.4431819
1,-9.85416666
0,9.85416666
1,14.46527777
0,-14.46527777
1,-4.61111111
0,4.61111111
1,5.79166667
0,-5.79166667
1,2.2125
0,-2.2125
1,0.62916667
0,-0.62916667
1,23.79312356
0,-23.79312356
1,18.54053031
0,-18.54053031
1,39.4919872
0,-39.4919872
1,20.375
0,-20.375
1,2.84166667
0,-2.84166667
1,16.32803031
0,-16.32803031
1,40.12115387
0,-40.12115387
1,-42.33365387
0,42.33365387
1,15.69886364
0,-15.69886364
1,14.4375
0,-14.4375
1,35.44166667
0,-35.44166667
1,-1.26136364
0,1.26136364
1,-4.6794872
0,4.6794872
1,15.06666667
0,-15.06666667
1,34.8125
0,-34.8125
1,25.0544872
0,-25.0544872
1,19.11363636
0,-19.11363636
1,4.6794872
0,-4.6794872
1,4.6794872
0,-4.6794872
1,5.06621291
0,-5.06621291
1,-11.81621291
0,11.81621291
1,10.22454625
0,-10.22454625
1,-6.75
0,6.75
1,33.65
0,-33.65
1,13.80416666
0,-13.80416666
1,9.35371291
0,-9.35371291
1,36.25371291
0,-36.25371291
1,25.39166667
0,-25.39166667
1,15.52454625
0,-15.52454625
1,24.8375
0,-24.8375
1,13.80416666
0,-13.80416666
1,43.00371291
0,-43.00371291
1,2.60371291
0,-2.60371291
1,-0.55416667
0,0.55416667
1,6.75
0,-6.75
1,33.65
0,-33.65
1,29.32871291
0,-29.32871291
1,10.22454625
0,-10.22454625
1,5.73333334
0,-5.73333334
1,5.85416667
0,-5.85416667
1,11.52916667
0,-11.52916667
1,-8.31666667
0,8.31666667
1,5.79583333
0,-5.79583333
1,-2.4625
0,2.4625
1,8.73409091
0,-8.73409091
1,37.85909093
0,-37.85909093
1,29.12500002
0,-29.12500002
1,29.12500002
0,-29.12500002
1,10.5416666
0,-10.5416666
1,4.14159174
0,-4.14159174
1,51.33068179
0,-51.33068179
1,-32.35714567
0,32.35714567
1,51.33068179
0,-51.33068179
1,10.5416666
0,-10.5416666
1,36.64742345
0,-36.64742345
1,40.78901519
0,-40.78901519
1,10.95600931
0,-10.95600931
1,21.40113636
0,-21.40113636
1,47.04040401
0,-47.04040401
1,15.24628709
0,-15.24628709
1,14.68325834
0,-14.68325834
1,36.49873741
0,-36.49873741
1,4.14159174
0,-4.14159174
1,36.0843947
0,-36.0843947
1,25.5427281
0,-25.5427281
1,4.29027778
0,-4.29027778
1,5.9
0,-5.9
1,8.29861111
0,-8.29861111
1,-17.31250002
0,17.31250002
1,24.125
0,-24.125
1,9.92083334
0,-9.92083334
1,1.72916667
0,-1.72916667
1,2.56666667
0,-2.56666667
1,7.31666667
0,-7.31666667
1,-22.77083334
0,22.77083334
1,6.25
0,-6.25
1,-6.65277778
0,6.65277778
1,19.14482606
0,-19.14482606
1,33.38649272
0,-33.38649272
1,16.87083334
0,-16.87083334
1,17.06527778
0,-17.06527778
1,16.80833333
0,-16.80833333
1,23.72083334
0,-23.72083334
1,19.7375
0,-19.7375
1,9.83611111
0,-9.83611111
1,9.27777778
0,-9.27777778
1,8.38194445
0,-8.38194445
1,35.95315939
0,-35.95315939
1,29.62083334
0,-29.62083334
1,1.5375
0,-1.5375
1,27.14861113
0,-27.14861113
1,-3.03333334
0,3.03333334
1,-0.40416666
0,0.40416666
1,-9.03194445
0,9.03194445
1,9.27083334
0,-9.27083334
1,43.26982606
0,-43.26982606
1,7.22916667
0,-7.22916667
1,17.275
0,-17.275
1,22.30416667
0,-22.30416667
1,6.85
0,-6.85
1,15.52777778
0,-15.52777778
1,28.1277778
0,-28.1277778
1,19.54899272
0,-19.54899272
1,14.24166666
0,-14.24166666
1,13.49305556
0,-13.49305556
1,16.40416667
0,-16.40416667
1,9.88333334
0,-9.88333334
1,36.41982606
0,-36.41982606
1,18.85000002
0,-18.85000002
1,5.49583334
0,-5.49583334
1,10.81527778
0,-10.81527778
1,34.3777778
0,-34.3777778
1,0.97916667
0,-0.97916667
1,4.22222222
0,-4.22222222
1,0.46666667
0,-0.46666667
1,-13.64899272
0,13.64899272
1,13.8375
0,-13.8375
1,4.7125
0,-4.7125
1,3.99027777
0,-3.99027777
1,-4.0135073
0,4.0135073
1,12.30555556
0,-12.30555556
1,-0.35
0,0.35
1,13.29899272
0,-13.29899272
1,3.57222222
0,-3.57222222
1,17.66250002
0,-17.66250002
1,-13.64899272
0,13.64899272
1,9.03194445
0,-9.03194445
1,23.91666666
0,-23.91666666
1,-13.42833412
0,13.42833412
1,-6.425
0,6.425
1,13.71906566
0,-13.71906566
1,-0.29073154
0,0.29073154
1,7.00333412
0,-7.00333412
1,6.71573154
0,-6.71573154
1,6.71573154
0,-6.71573154
1,37.80522803
0,-37.80522803
1,-24.37689391
0,24.37689391
1,13.42833412
0,-13.42833412
1,24.37689391
0,-24.37689391
1,24.37689391
0,-24.37689391
1,9.16666667
0,-9.16666667
1,25.79166664
0,-25.79166664
1,6.26812774
0,-6.26812774
1,10.20562774
0,-10.20562774
1,15.5860389
0,-15.5860389
1,4.18479434
0,-4.18479434
1,17.9375
0,-17.9375
1,12.75562767
0,-12.75562767
1,8.77083333
0,-8.77083333
1,-3.588961
0,3.588961
1,3.9375
0,-3.9375
1,-2.95833333
0,2.95833333
1,5.6125
0,-5.6125
1,-0.0597944
0,0.0597944
1,-0.97916667
0,0.97916667
1,47.63333336
0,-47.63333336
1,17.61666666
0,-17.61666666
1,65.25000002
0,-65.25000002
1,10.94583334
0,-10.94583334
1,56.13333336
0,-56.13333336
1,-3.9875
0,3.9875
1,10.94583334
0,-10.94583334
1,43.64583336
0,-43.64583336
1,8.5
0,-8.5
1,45.18750002
0,-45.18750002
1,47.63333336
0,-47.63333336
1,1.54166666
0,-1.54166666
1,2.44583334
0,-2.44583334
1,12.4875
0,-12.4875
1,-38.09595957
0,38.09595957
1,14.55555556
0,-14.55555556
1,3.8073982
0,-3.8073982
1,-7.83982402
0,7.83982402
1,-31.38022803
0,31.38022803
1,-2.90833334
0,2.90833334
1,-45.93578359
0,45.93578359
1,-34.28856137
0,34.28856137
1,11.64722222
0,-11.64722222
1,6.71573154
0,-6.71573154
1,-11.64722222
0,11.64722222
1,6.71573154
0,-6.71573154
1,2.90833334
0,-2.90833334
1,-7.83982402
0,7.83982402
1,3.8073982
0,-3.8073982
1,-14.55555556
0,14.55555556
1,14.55555556
0,-14.55555556
1,14.55555556
0,-14.55555556
1,34.27353896
0,-34.27353896
1,2.05787958
0,-2.05787958
1,39.53187229
0,-39.53187229
1,25.50270563
0,-25.50270563
1,-6.2375
0,6.2375
1,55.42280229
0,-55.42280229
1,7.79166666
0,-7.79166666
1,23.56547624
0,-23.56547624
1,-28.72772648
0,28.72772648
1,43.50000003
0,-43.50000003
1,31.85732605
0,-31.85732605
1,4.66206709
0,-4.66206709
1,31.3571429
0,-31.3571429
1,-3.12959957
0,3.12959957
1,24.06565939
0,-24.06565939
1,-26.69507581
0,26.69507581
1,49.73750003
0,-49.73750003
1,13.3598485
0,-13.3598485
1,1.43704624
0,-1.43704624
