Thomas Jefferson A,304,170,118,86,61,32,26,7,77,34,27,8,1,1,0,3,19,8,7,0,4,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hunter A,185,174,127,96,64,39,23,16,92,44,31,14,9,9,3,0,23,16,11,3,4,3,3,0,2,0,0,0,5,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DCC A,136,119,118,97,83,43,38,21,95,59,38,18,18,11,5,1,35,10,12,2,12,5,4,2,0,0,0,0,11,2,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stevenson A,118,128,125,109,79,47,27,31,85,48,31,30,11,8,4,2,30,20,19,8,6,2,5,3,2,0,0,0,8,2,1,0,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James E. Taylor A,81,99,93,85,70,55,35,25,84,68,60,24,23,14,11,3,51,21,19,16,12,5,6,2,6,0,1,1,13,4,2,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canyon Crest A,37,52,61,47,65,59,61,38,71,65,65,44,30,38,18,10,34,38,23,20,28,6,11,7,6,0,5,1,23,6,6,3,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wayzata A,22,31,47,67,82,55,48,44,51,63,44,43,49,31,17,21,45,29,27,18,22,13,20,12,15,7,3,1,12,11,1,0,12,3,2,0,8,1,3,0,3,2,1,0,0,0,0,0,8,0,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chattahoochee A,28,32,47,50,51,54,56,31,49,65,54,44,50,38,29,16,52,33,32,18,27,18,17,9,13,3,6,6,22,8,3,1,11,3,2,0,2,1,0,0,2,0,0,0,1,0,0,0,5,7,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miami Valley A,21,37,35,47,58,69,49,39,56,65,57,53,47,30,20,18,48,29,39,19,23,26,13,6,6,3,7,0,17,10,10,1,8,3,4,1,3,1,1,1,1,0,0,0,0,0,0,0,7,5,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uni Lab A,15,36,44,47,70,67,58,41,53,50,61,46,44,39,31,19,39,24,50,29,20,6,17,12,6,5,2,0,17,6,1,1,9,4,3,1,6,0,1,0,4,2,0,0,0,0,0,0,6,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northview A,8,14,20,30,35,41,50,44,29,51,47,54,57,39,40,33,33,39,42,32,27,29,21,17,18,15,9,2,17,17,5,4,8,6,7,4,11,8,0,2,2,0,0,0,4,0,0,0,13,4,3,0,1,2,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beavercreek A,8,20,23,32,41,53,40,52,32,42,32,48,47,44,37,33,42,37,41,38,36,25,22,15,17,6,11,4,23,11,12,4,12,15,4,1,4,2,2,1,2,0,1,0,1,0,0,0,11,6,1,1,2,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High Tech A,7,12,22,28,29,44,40,49,34,45,28,50,51,27,26,25,49,46,43,31,37,37,38,17,22,8,10,6,29,21,10,9,11,8,5,0,10,3,0,0,4,2,0,0,0,0,0,0,4,6,2,2,1,3,0,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lexington A,7,11,22,14,28,32,48,54,23,30,42,38,49,43,34,33,38,28,42,40,41,22,43,21,19,15,16,7,19,21,12,5,16,10,3,2,7,7,6,1,5,7,2,0,2,2,1,0,9,7,2,0,3,5,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LASA A,4,16,20,22,23,34,38,41,28,35,41,53,37,36,33,30,32,37,41,33,31,33,34,16,29,14,20,6,29,22,9,7,17,7,4,4,11,4,1,1,5,1,1,0,5,0,0,0,22,7,4,2,7,0,2,0,4,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montgomery Blair A,2,7,16,15,28,39,40,46,24,33,42,53,43,51,42,28,42,33,34,33,41,42,24,30,26,7,12,4,26,17,12,4,12,10,6,0,11,6,4,0,6,0,3,0,1,0,0,0,14,5,9,0,3,2,2,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carnegie Vanguard A,3,10,17,24,30,32,37,39,16,29,31,50,46,47,40,27,36,47,49,29,36,24,19,24,26,10,15,6,28,14,20,8,22,14,6,6,12,7,2,2,7,5,2,1,2,0,2,0,12,4,3,1,5,3,0,0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Ithaca A,4,10,7,18,9,31,31,34,16,37,41,37,39,45,43,29,30,40,30,35,39,24,39,26,19,18,16,8,28,29,19,4,17,18,8,5,20,14,6,2,10,5,1,0,5,1,1,0,23,9,6,1,4,1,0,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Johns A,0,4,7,16,11,20,26,38,16,27,30,29,40,43,42,25,31,39,32,35,37,31,37,22,26,27,20,9,41,26,17,8,35,21,9,7,19,9,5,3,12,5,2,0,0,1,0,0,21,8,3,0,13,1,1,0,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stanford Online A,5,6,5,14,18,19,39,20,17,17,27,31,25,45,32,19,29,35,37,26,30,40,37,35,38,24,21,11,29,25,17,13,22,19,13,7,16,18,12,2,8,6,2,0,5,1,4,0,24,7,10,3,10,3,1,2,6,1,1,0,2,1,0,0,1,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strake Jesuit A,0,1,5,7,12,22,21,21,4,11,26,34,20,40,40,30,34,26,35,35,24,41,22,29,40,21,33,17,43,33,21,18,26,16,15,10,20,18,4,3,12,10,8,1,8,5,0,0,14,9,5,1,9,4,5,1,2,0,0,1,3,1,0,2,1,1,0,0,0,0,0,0,10,5,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montgomery Blair B,0,2,4,5,10,10,28,19,4,8,10,18,32,27,36,35,17,31,32,43,23,32,37,35,35,26,26,12,32,34,23,19,46,20,17,11,20,18,9,7,14,15,6,7,7,2,0,1,23,10,11,5,16,4,3,0,6,0,1,1,2,2,1,1,1,0,0,0,1,0,0,0,2,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMSA A,2,2,2,12,4,11,11,20,4,8,14,18,20,27,27,33,32,27,29,49,32,33,46,31,39,25,24,10,36,41,28,21,35,24,18,10,35,15,6,5,13,12,3,4,4,2,4,1,18,20,6,3,7,4,6,0,2,4,3,1,0,0,1,0,2,0,0,0,0,0,0,0,5,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Saratoga A,1,1,3,6,5,18,17,25,9,11,10,26,28,27,34,34,19,32,26,30,43,39,31,33,28,35,22,16,37,40,26,20,28,25,21,15,29,15,9,6,21,10,8,3,12,3,2,1,16,7,2,4,11,5,1,0,1,1,3,1,2,0,0,0,1,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Auburn A,0,0,3,3,4,9,13,26,5,7,12,21,25,19,33,31,20,25,23,35,36,38,36,32,35,19,25,25,42,34,31,27,33,16,23,18,29,18,14,6,24,14,8,5,8,3,3,2,12,8,11,3,12,7,3,1,4,1,3,0,2,2,0,0,2,0,0,0,1,0,1,0,6,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Thomas Jefferson B,0,2,3,6,4,6,11,17,4,6,19,25,18,19,31,38,20,31,26,32,31,37,33,34,28,22,26,21,37,37,31,19,35,35,23,10,26,16,12,7,23,10,6,4,5,10,1,0,19,10,10,4,12,11,3,1,4,2,4,0,0,1,0,1,1,1,0,0,1,0,0,0,8,4,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vestavia Hills A,1,0,2,5,5,9,10,26,4,9,16,15,19,27,27,26,28,28,27,34,25,34,32,25,32,30,42,17,26,36,32,16,34,24,21,13,23,17,16,10,15,13,7,5,12,5,1,0,23,23,10,7,11,5,4,1,5,2,1,1,2,2,1,0,2,1,2,1,1,0,0,0,5,1,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ladue A,1,1,0,1,5,4,17,24,8,6,18,18,21,23,34,30,20,23,29,30,27,26,30,25,22,24,28,21,34,41,33,21,29,24,24,6,34,24,14,7,18,10,11,6,10,6,4,2,20,17,8,7,18,9,4,2,3,3,2,2,2,4,2,1,3,1,1,1,2,1,0,0,5,4,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Buchholz A,0,0,1,2,4,9,4,14,0,6,16,6,17,25,26,18,16,20,20,25,28,36,30,23,37,19,24,27,31,30,27,24,40,32,20,14,35,27,24,11,22,15,8,6,17,5,1,2,30,12,12,11,14,7,11,4,10,4,4,1,4,4,1,0,5,1,1,0,1,0,0,0,9,2,2,1,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Troy A,0,0,1,5,5,13,17,14,3,8,8,9,11,13,24,21,18,26,26,27,33,21,28,42,25,31,20,15,31,36,33,30,40,25,27,14,24,16,16,7,22,17,8,8,14,9,8,4,17,24,13,7,12,9,7,2,9,6,5,1,6,2,1,0,4,2,0,0,3,0,0,0,2,1,2,1,4,1,0,0,0,2,0,0,1,1,0,0,1,0,0,0,1,0,0,0
Wilmington Charter A,0,1,0,1,3,6,10,12,2,6,3,7,10,15,23,28,7,24,11,21,29,31,31,32,27,24,30,27,30,32,38,31,36,26,21,18,24,25,17,14,23,19,17,4,14,10,8,2,25,13,17,10,16,10,7,2,10,7,3,2,4,7,1,3,6,2,1,0,1,0,0,0,3,3,2,0,8,2,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
GNS A,0,0,0,2,2,4,6,8,1,1,6,10,12,11,21,21,1,11,6,13,21,26,20,28,27,34,25,19,23,28,30,33,34,29,28,31,29,22,19,14,26,28,14,10,22,14,7,6,25,15,13,8,18,12,7,5,13,7,5,2,11,7,8,2,4,2,2,1,2,1,1,0,11,9,9,1,6,3,0,0,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Dorman A,0,0,1,0,0,5,4,10,2,1,2,7,9,8,9,27,3,11,6,18,23,16,22,25,24,29,27,25,18,33,36,21,27,25,31,24,29,26,30,26,22,22,26,6,17,6,16,2,30,18,18,17,14,13,9,6,15,6,9,2,7,5,7,4,6,2,1,2,1,1,1,0,10,6,5,1,8,1,4,1,2,1,2,1,3,0,1,0,1,0,1,0,1,0,0,0
Solon A,0,0,0,0,1,0,2,6,1,0,3,0,5,8,15,13,1,4,6,17,14,11,16,15,25,25,27,23,14,17,30,32,28,26,35,25,33,29,28,31,26,20,32,12,22,19,10,7,30,20,18,9,17,15,7,4,19,13,11,9,9,7,5,4,9,3,5,2,6,2,0,0,7,9,6,5,9,3,2,1,4,2,2,1,4,2,0,0,2,1,1,0,1,0,0,0
Henderson County A,0,1,0,0,0,4,2,6,0,0,1,2,4,9,11,18,2,7,10,17,13,16,12,24,25,38,32,25,13,23,24,38,22,26,26,24,31,26,20,24,32,21,19,19,11,20,14,6,18,15,21,12,23,18,11,6,18,12,3,3,13,4,3,4,11,3,4,1,7,1,2,2,13,9,6,6,5,3,2,3,7,2,1,1,3,2,0,0,3,1,0,0,0,0,0,0
Millburn A,0,1,1,0,0,1,4,7,0,1,1,1,4,6,10,18,3,6,8,13,11,16,17,23,16,24,20,36,16,19,30,31,22,28,32,16,17,42,23,20,29,17,22,17,20,14,12,7,29,21,11,13,29,21,11,8,19,13,14,2,16,9,6,1,11,4,1,1,5,2,3,1,20,12,5,3,4,4,1,2,6,4,0,0,2,1,1,0,0,1,0,0,0,1,0,0
St. Marks A,0,0,0,0,0,1,0,6,0,1,1,3,5,7,9,21,3,2,5,8,8,14,14,22,11,31,20,28,12,17,32,21,17,32,30,24,29,29,34,31,29,21,25,16,17,14,15,6,17,21,17,19,27,12,14,9,21,11,10,8,21,9,5,1,10,5,5,1,6,5,0,2,14,9,9,4,11,3,5,0,3,2,1,3,5,2,1,0,1,0,0,0,0,0,0,0
Allderdice A,0,0,0,0,0,0,3,6,0,1,0,2,2,15,7,12,3,9,6,7,10,10,9,28,15,26,13,19,8,7,27,24,17,33,27,20,24,28,28,14,25,25,26,11,24,24,22,12,18,26,21,19,26,27,20,10,16,16,12,6,16,8,8,2,9,8,4,2,5,3,1,0,19,13,6,3,9,7,3,4,4,5,1,0,4,0,1,0,3,1,0,0,3,0,2,0
Colleyville Heritage A,0,0,0,0,0,1,3,2,1,1,1,1,1,6,9,14,4,6,7,14,5,7,17,20,16,24,20,23,13,13,28,23,17,24,34,23,24,23,28,25,27,17,31,16,24,22,14,8,25,22,21,15,21,19,18,10,22,9,8,11,17,9,14,7,8,4,3,3,10,5,2,2,16,7,10,6,4,9,3,2,4,3,1,1,2,2,2,1,4,0,1,0,0,0,0,0
North Gwinnett A,0,0,0,0,1,0,2,0,0,0,0,0,4,4,4,15,3,5,1,6,8,11,14,15,19,17,14,19,13,18,17,23,14,36,33,20,21,27,19,32,28,28,14,12,21,19,13,10,35,25,22,12,20,22,30,11,22,11,13,8,18,10,16,7,12,12,10,4,2,6,3,2,16,13,6,6,5,8,2,3,9,4,4,1,3,1,0,0,3,0,0,2,0,1,0,0
Plano West A,0,0,0,0,0,0,1,1,0,0,0,2,8,1,7,10,2,4,3,7,5,9,14,12,17,22,28,17,8,17,21,31,17,23,24,30,20,26,24,20,24,23,20,25,23,20,14,11,20,20,22,20,26,21,18,9,21,20,20,4,18,13,11,4,12,6,9,3,11,7,2,2,19,11,11,8,10,4,1,3,9,3,1,0,5,0,2,0,0,2,0,0,1,0,0,0
Walton A,0,0,0,0,0,0,1,3,0,0,0,3,1,4,4,17,1,3,2,2,1,8,7,11,10,23,33,26,12,7,19,28,16,18,28,33,19,26,22,17,32,18,22,19,23,29,16,18,30,13,32,23,20,23,12,18,23,11,18,8,10,16,6,7,12,14,6,3,4,1,3,0,16,9,7,8,9,6,10,4,4,4,3,1,4,2,2,3,4,0,3,0,3,3,0,0
Early College at Guilford A,0,0,0,0,0,0,1,1,0,0,1,2,2,2,8,9,1,6,4,9,2,9,8,13,10,25,15,18,4,19,15,24,10,21,19,24,26,22,24,23,27,21,15,14,27,24,18,13,20,18,22,20,26,24,20,15,20,12,13,6,21,16,6,12,15,9,8,8,14,2,6,3,19,18,12,9,19,8,4,5,6,2,3,1,7,0,3,2,2,1,1,0,4,1,1,0
Cistercian A,0,0,0,0,0,2,2,2,0,0,1,0,1,0,8,11,0,5,2,6,5,11,7,17,12,19,15,23,10,12,17,36,13,18,20,17,16,16,23,20,27,15,16,18,23,19,18,8,15,29,27,21,26,21,17,17,25,29,11,13,18,15,15,6,22,8,5,4,13,7,5,1,25,8,8,8,14,7,3,4,11,2,3,4,9,2,3,0,2,0,1,1,3,0,1,0
Parish Episcopal A,0,0,0,1,0,0,0,2,0,0,0,0,0,0,3,7,0,3,3,6,2,7,7,13,10,15,19,23,8,8,14,29,12,29,23,19,22,20,37,24,15,20,25,23,17,28,16,13,15,37,20,24,26,19,21,19,32,17,15,6,13,15,12,7,21,13,5,4,8,7,6,4,17,14,12,7,13,4,2,5,8,4,1,1,4,6,1,2,0,4,0,1,2,2,1,0
High Tech B,0,0,0,0,0,0,0,4,0,0,1,1,2,2,1,10,1,3,0,1,3,12,3,11,8,17,14,15,3,10,18,24,14,15,15,23,10,22,26,21,18,29,23,23,23,19,22,15,13,21,21,25,17,20,16,17,18,21,19,12,20,19,19,8,18,18,11,3,17,12,5,8,23,13,10,6,13,11,3,6,7,6,4,5,4,4,5,3,6,0,1,1,4,3,1,1
Midtown Classical A,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,10,0,5,1,2,3,4,5,6,4,15,17,9,10,8,15,17,13,14,23,22,20,20,16,21,28,25,22,23,18,21,30,17,19,22,22,22,13,24,20,21,27,28,20,11,24,27,11,9,14,17,11,6,18,6,6,3,12,13,8,10,11,11,8,6,9,8,4,0,8,3,4,2,5,1,0,1,2,2,0,0
Greens Farms A,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,8,0,0,1,2,2,7,4,7,10,18,12,22,8,11,8,25,7,16,20,29,21,19,25,25,14,40,31,25,39,25,29,25,8,13,26,11,24,21,22,17,18,20,17,12,16,18,7,10,17,15,9,4,9,6,7,3,8,16,12,10,10,9,6,5,4,6,6,5,3,3,5,3,3,7,1,1,0,3,2,2
